name;poviat;voivodeship;row;col;_id
Ustrzyki Dolne;pow.bieszczadzki;woj.podkarpackie;482;280;5
Czarna;pow.bieszczadzki;woj.podkarpackie;485;282;6
Lutowiska;pow.bieszczadzki;woj.podkarpackie;486;282;7
Brzozów;pow.brzozowski;woj.podkarpackie;475;269;9
Domaradz;pow.brzozowski;woj.podkarpackie;472;268;11
Dydnia;pow.brzozowski;woj.podkarpackie;476;273;12
Haczów;pow.brzozowski;woj.podkarpackie;476;267;13
Jasienica Rosielna;pow.brzozowski;woj.podkarpackie;474;268;14
Nozdrzec;pow.brzozowski;woj.podkarpackie;473;273;15
Dębica;pow.dębicki;woj.podkarpackie;466;258;16
Pilzno;pow.dębicki;woj.podkarpackie;468;256;17
Brzostek;pow.dębicki;woj.podkarpackie;470;258;18
Czarna;pow.dębicki;woj.podkarpackie;465;255;19
Jodłowa;pow.dębicki;woj.podkarpackie;470;257;21
Żyraków;pow.dębicki;woj.podkarpackie;464;258;23
Jarosław;pow.jarosławski;woj.podkarpackie;465;281;24
Radymno;pow.jarosławski;woj.podkarpackie;468;284;25
Chłopice;pow.jarosławski;woj.podkarpackie;468;281;26
Laszki;pow.jarosławski;woj.podkarpackie;465;285;28
Pawłosiów;pow.jarosławski;woj.podkarpackie;466;281;29
Pruchnik;pow.jarosławski;woj.podkarpackie;469;278;30
Rokietnica;pow.jarosławski;woj.podkarpackie;469;280;32
Roźwienica;pow.jarosławski;woj.podkarpackie;468;279;33
Wiązownica;pow.jarosławski;woj.podkarpackie;464;281;34
Jasło;pow.jasielski;woj.podkarpackie;475;259;35
Brzyska;pow.jasielski;woj.podkarpackie;472;258;36
Dębowiec;pow.jasielski;woj.podkarpackie;476;259;37
Kołaczyce;pow.jasielski;woj.podkarpackie;473;259;39
Krempna;pow.jasielski;woj.podkarpackie;480;260;40
Nowy Żmigród;pow.jasielski;woj.podkarpackie;478;261;41
Osiek Jasielski;pow.jasielski;woj.podkarpackie;477;260;42
Skołyszyn;pow.jasielski;woj.podkarpackie;474;257;43
Tarnowiec;pow.jasielski;woj.podkarpackie;475;262;44
Kolbuszowa;pow.kolbuszowski;woj.podkarpackie;461;264;45
Cmolas;pow.kolbuszowski;woj.podkarpackie;459;264;46
Majdan Królewski;pow.kolbuszowski;woj.podkarpackie;456;264;48
Niwiska;pow.kolbuszowski;woj.podkarpackie;461;262;49
Raniżów;pow.kolbuszowski;woj.podkarpackie;459;268;50
Stary Dzikowiec;pow.kolbuszowski;woj.podkarpackie;459;266;51
Krosno;pow.krośnieński;woj.podkarpackie;475;265;52
Dukla;pow.krośnieński;woj.podkarpackie;479;263;53
Iwonicz-Zdrój;pow.krośnieński;woj.podkarpackie;479;265;54
Jedlicze;pow.krośnieński;woj.podkarpackie;475;262;55
Rymanów;pow.krośnieński;woj.podkarpackie;479;267;56
Chorkówka;pow.krośnieński;woj.podkarpackie;477;263;57
Korczyna;pow.krośnieński;woj.podkarpackie;475;266;61
Krościenko Wyżne;pow.krośnieński;woj.podkarpackie;476;266;62
Miejsce Piastowe;pow.krośnieński;woj.podkarpackie;477;265;63
Wojaszówka;pow.krośnieński;woj.podkarpackie;473;263;65
Lesko;pow.leski;woj.podkarpackie;481;275;66
Baligród;pow.leski;woj.podkarpackie;485;274;67
Cisna;pow.leski;woj.podkarpackie;488;275;68
Olszanica;pow.leski;woj.podkarpackie;481;277;70
Solina;pow.leski;woj.podkarpackie;483;277;71
Leżajsk;pow.leżajski;woj.podkarpackie;459;276;72
Nowa Sarzyna;pow.leżajski;woj.podkarpackie;457;274;73
Grodzisko Dolne;pow.leżajski;woj.podkarpackie;462;277;74
Kuryłówka;pow.leżajski;woj.podkarpackie;458;277;75
Lubaczów;pow.lubaczowski;woj.podkarpackie;462;289;78
Cieszanów;pow.lubaczowski;woj.podkarpackie;459;288;79
Narol;pow.lubaczowski;woj.podkarpackie;456;292;80
Oleszyce;pow.lubaczowski;woj.podkarpackie;461;287;81
Horyniec-Zdrój;pow.lubaczowski;woj.podkarpackie;460;293;83
Stary Dzików;pow.lubaczowski;woj.podkarpackie;460;285;87
Wielkie Oczy;pow.lubaczowski;woj.podkarpackie;465;289;88
Łańcut;pow.łańcucki;woj.podkarpackie;465;273;89
Białobrzegi;pow.łańcucki;woj.podkarpackie;463;275;90
Czarna;pow.łańcucki;woj.podkarpackie;463;272;91
Markowa;pow.łańcucki;woj.podkarpackie;466;274;93
Rakszawa;pow.łańcucki;woj.podkarpackie;461;273;94
Żołynia;pow.łańcucki;woj.podkarpackie;462;274;95
Mielec;pow.mielecki;woj.podkarpackie;459;258;96
Borowa;pow.mielecki;woj.podkarpackie;457;257;98
Czermin;pow.mielecki;woj.podkarpackie;458;256;99
Gawłuszowice;pow.mielecki;woj.podkarpackie;455;257;100
Padew Narodowa;pow.mielecki;woj.podkarpackie;455;260;102
Przecław;pow.mielecki;woj.podkarpackie;462;259;103
Radomyśl Wielki;pow.mielecki;woj.podkarpackie;462;256;104
Tuszów Narodowy;pow.mielecki;woj.podkarpackie;457;259;105
Wadowice Górne;pow.mielecki;woj.podkarpackie;460;256;106
Nisko;pow.niżański;woj.podkarpackie;452;270;107
Rudnik nad Sanem;pow.niżański;woj.podkarpackie;454;273;108
Ulanów;pow.niżański;woj.podkarpackie;453;273;109
Harasiuki;pow.niżański;woj.podkarpackie;453;277;110
Jarocin;pow.niżański;woj.podkarpackie;451;274;111
Jeżowe;pow.niżański;woj.podkarpackie;456;271;112
Krzeszów;pow.niżański;woj.podkarpackie;455;274;113
Przemyśl;pow.przemyski;woj.podkarpackie;472;283;117
Bircza;pow.przemyski;woj.podkarpackie;475;277;118
Dubiecko;pow.przemyski;woj.podkarpackie;471;276;119
Fredropol;pow.przemyski;woj.podkarpackie;475;282;120
Krasiczyn;pow.przemyski;woj.podkarpackie;472;281;121
Krzywcza;pow.przemyski;woj.podkarpackie;472;279;122
Medyka;pow.przemyski;woj.podkarpackie;472;286;123
Orły;pow.przemyski;woj.podkarpackie;469;283;124
Stubno;pow.przemyski;woj.podkarpackie;469;286;126
Żurawica;pow.przemyski;woj.podkarpackie;471;283;127
Przeworsk;pow.przeworski;woj.podkarpackie;465;277;128
Sieniawa;pow.przeworski;woj.podkarpackie;461;279;130
